job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills
Application Support Engineer,Application Support Engineer,Remote,RemoteOK,Full-time,TRUE,Remote,2026-05-14 16:01:53,TRUE,FALSE,,,,,Cresta,"['api', 'go']","{'tools': ['api'], 'programming': ['go']}"
Software Engineer,Software Engineer,Remote,RemoteOK,Internship,TRUE,Remote,2026-05-14 16:01:22,TRUE,FALSE,,,,,Obsidian Security,"['api', 'google cloud', 'salesforce', 'snowflake']","{'tools': ['api', 'salesforce', 'snowflake'], 'cloud': ['google cloud']}"
DevRel Content Creator,DevRel Content Creator,Remote,RemoteOK,Full-time,TRUE,Remote,2026-05-14 15:12:08,TRUE,FALSE,,year,110000,,SuperPlane,"['ci/cd', 'kubernetes', 'slack', 'terraform']","{'devops': ['ci/cd', 'kubernetes', 'terraform'], 'tools': ['slack']}"
Golang Developer,Senior Golang Developer,Remote,RemoteOK,Full-time,TRUE,Remote,2026-05-14 14:00:02,TRUE,FALSE,,,,,TRE ALTAMIRA Srl,,
Software engineer,Software engineer,Remote,RemoteOK,Internship,TRUE,Remote,2026-05-14 09:44:31,TRUE,FALSE,,year,200000,,Sticker Mule,"['docker', 'gcp', 'go', 'graphql', 'react', 'redis', 'slack', 'typescript']","{'devops': ['docker'], 'cloud': ['gcp'], 'programming': ['go', 'typescript'], 'tools': ['graphql', 'slack'], 'frameworks': ['react'], 'databases': ['redis']}"
IT Support Technician,IT Support Technician,Washington DC,RemoteOK,Full-time,TRUE,Washington DC,2026-05-14 08:00:18,FALSE,TRUE,United States,year,27001,,Avalere Health,['azure'],{'cloud': ['azure']}
Account Supervisor,Account Supervisor,Remote,RemoteOK,Full-time,TRUE,Remote,2026-05-14 08:00:12,TRUE,TRUE,,year,107500,,Avalere Health,,
Product Manager,Product Manager,Berlin,RemoteOK,Full-time,TRUE,Berlin,2026-05-14 08:00:05,TRUE,TRUE,,,,,Cosuno,['go'],{'programming': ['go']}
Engineer Platform Engineering,Staff Engineer Platform Engineering,India,RemoteOK,Internship,TRUE,India,2026-05-14 00:02:15,TRUE,FALSE,India,,,,HighLevel,"['api', 'ci/cd', 'gcp', 'google cloud', 'kubernetes', 'microservices']","{'tools': ['api', 'microservices'], 'devops': ['ci/cd', 'kubernetes'], 'cloud': ['gcp', 'google cloud']}"
Business Analyst,Business Analyst,Denver,RemoteOK,Full-time,FALSE,Denver,2026-05-14 00:02:09,TRUE,TRUE,United States,,,,Judi Health,,
